"friend_name","movie_name","predicted_rating"
"Burton","Deadpool",4.51001821493625
"Burton","CaptainAmerica",4.33830104321908
"Burton","Frozen",3.79284649776453
"Dan","CaptainAmerica",5
"Dan","JungleBook",4.9655737704918
"Dan","Frozen",4.79284649776453
"Dieudonne","JungleBook",4.63224043715847
"Dieudonne","Frozen",4.4595131644312
"Dieudonne","PitchPerfect2",3.44652615144418
"Matt","Deadpool",3.76001821493625
"Matt","JungleBook",3.2155737704918
"Mauricio","Deadpool",4.01001821493625
"Mauricio","StarWarsForce",3.71941992433796
"Nathan","Deadpool",4.51001821493625
"Nathan","CaptainAmerica",4.33830104321908
"Nathan","JungleBook",3.9655737704918
"Param","JungleBook",3.4655737704918
"Param","PitchPerfect2",2.27985948477752
"Prashanth","PitchPerfect2",3.57985948477752
"Shipra","Deadpool",4.51001821493625
"Shipra","CaptainAmerica",4.33830104321908
"Shipra","PitchPerfect2",2.77985948477752
"Steve","Deadpool",4.51001821493625
"Steve","JungleBook",3.9655737704918
"Steve","Frozen",3.79284649776453
"Vuthy","StarWarsForce",3.81941992433796
"Xingjia","CaptainAmerica",5
"Xingjia","Deadpool",5
"Xingjia","StarWarsForce",5
